video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,tagCount
lMeaksVlPN4,Snakehips,Snakehips & EARTHGANG (SNAKEGANG) - The Remedy ft. Rush Davis (Official Lyric Video),"Snakehips & EARTHGANG (SNAKEGANG) - The Remedy ft. Rush Davis (Official Lyric Video)
Out Now - https://orcd.co/nwr036ep

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow EARTHGANG: 
Facebook: https://www.facebook.com/EarthGanghbt/
Twitter: https://twitter.com/earthgang
Instagram: https://www.instagram.com/earthgang/
TikTok: https://www.tiktok.com/@earthgang

#electronicmusic #snakehips #earthgang #dancemusic","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2024-07-25 19:17:16+00:00,4983.0,212.0,,7.0,PT3M18S,hd,false,Thursday,13
JHFhuS3pGXE,Snakehips,Snakehips & EARTHGANG (SNAKEGANG) - Bounce ft. DijahSB (Official Lyric Video),"Snakehips & EARTHGANG (SNAKEGANG) - Bounce ft. DijahSB (Official Lyric Video)
Out Now - https://orcd.co/nwr036ep

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow EARTHGANG: 
Facebook: https://www.facebook.com/EarthGanghbt/
Twitter: https://twitter.com/earthgang
Instagram: https://www.instagram.com/earthgang/
TikTok: https://www.tiktok.com/@earthgang

#electronicmusic #snakehips #earthgang #dancemusic","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2024-07-22 17:20:17+00:00,7341.0,339.0,,9.0,PT3M42S,hd,false,Monday,13
Bq8tAdgP2HU,Snakehips,Snakehips & EARTHGANG (SNAKEGANG) - GLIMMER. (Official Music Video),"Snakehips & EARTHGANG (SNAKEGANG) - GLIMMER.
Out Now - https://orcd.co/nwr036ep

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow EARTHGANG: 
Facebook: https://www.facebook.com/EarthGanghbt/
Twitter: https://twitter.com/earthgang
Instagram: https://www.instagram.com/earthgang/
TikTok: https://www.tiktok.com/@earthgang

#electronicmusic #snakehips #earthgang #dancemusic","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2024-07-19 16:00:08+00:00,341304.0,2112.0,,53.0,PT2M56S,hd,false,Friday,13
hPe44LLzmGM,Snakehips,Snakehips & EARTHGANG (SNAKEGANG) feat Sinéad Harnett - Been a Minute... (Official Lyric Video),"Snakehips & EARTHGANG feat Sinéad Harnett - Been a Minute...
Out Now - https://orcd.co/nwr036

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow Earthgang: 
Facebook: https://www.facebook.com/EarthGanghbt/
Twitter: https://twitter.com/earthgang
Instagram: https://www.instagram.com/earthgang/
TikTok: https://www.tiktok.com/@earthgang

Follow Sinéad Harnett: 
Facebook: https://www.facebook.com/sineadharnettmusic
Twitter: https://x.com/sineadharnett
Instagram: https://www.instagram.com/sineadharnett
TikTok: https://www.tiktok.com/@sineadharnett   

#electronicmusic #snakehips #earthgang #sineadharnett #dancemusic","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine', 'earthgang', 'sinead harnett', 'dance', 'hip hop', 'rappers', 'rap', 'snakegang', 'block party']",2024-06-23 08:54:29+00:00,163764.0,3121.0,,32.0,PT3M10S,hd,false,Sunday,21
WjCBiRCSLqw,Snakehips,Snakehips - Bringing Me Home (feat. LAUREL) (Official Lyric Video),"Snakehips - Bringing Me Home (feat. LAUREL) 
Out Now - https://orcd.co/nwr028

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow LAUREL:
Instagram: https://www.instagram.com/classiclaurel/
TikTok: https://www.tiktok.com/@classic.laurel
Twitter: https://twitter.com/classiclaurel

#snakehips #laurel #bringingmehome #lyricvideo","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-12-13 12:57:52+00:00,154845.0,321.0,,7.0,PT3M30S,hd,false,Wednesday,13
oky109dq5bE,Snakehips,Snakehips - Bringing Me Home (feat. LAUREL) (Official Visualizer),"Snakehips - Bringing Me Home (feat. LAUREL) 
Out Now - https://orcd.co/nwr028

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow LAUREL:
Instagram: https://www.instagram.com/classiclaurel/
TikTok: https://www.tiktok.com/@classic.laurel
Twitter: https://twitter.com/classiclaurel

#snakehips #laurel #bringingmehome #visualiser","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-12-01 14:58:42+00:00,59719.0,693.0,,17.0,PT3M31S,hd,false,Friday,13
2EbqQc_ZoQo,Snakehips,Snakehips - Dancing With A Ghost (feat. Au/Ra) (Official Lyric Video),"Snakehips - Dancing With A Ghost (ft. Au/Ra)
Out Now - https://orcd.co/nwr026

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow Au/Ra:
Facebook: https://www.facebook.com/heyitsaura/
Twitter: https://twitter.com/heyitsau_ra
Instagram: https://www.instagram.com/heyitsau_ra/
Website: https://www.heyitsaura.com/

#snakehips #aura #dancingwithaghost #lyricvideo","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-11-23 12:49:41+00:00,117040.0,607.0,,12.0,PT2M34S,hd,false,Thursday,13
zC2lTzCryU8,Snakehips,Snakehips - Dancing With A Ghost (feat. Au/Ra) (Official Visualizer),"Snakehips - Dancing With A Ghost (ft. Au/Ra)
Out Now - https://orcd.co/nwr026

Follow Snakehips: 
Facebook: https://www.facebook.com/Snakehipsuk/
Twitter: https://twitter.com/snakehipsuk
Instagram: http://www.instagram.com/snakehipsmusic
Website: http://www.snakehipsmusic.com/
Sign up: http://smarturl.it/SnakehipsNL

Follow Au/Ra:
Facebook: https://www.facebook.com/heyitsaura/
Twitter: https://twitter.com/heyitsau_ra
Instagram: https://www.instagram.com/heyitsau_ra/
Website: https://www.heyitsaura.com/","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-10-05 21:57:03+00:00,39039.0,795.0,,30.0,PT2M34S,hd,false,Thursday,13
-kBY5R6kR-w,Snakehips,"Snakehips and Muni Long in the studio for ""My Body // Your Body""  @MuniLong   #music #deluxeversion",,"['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-07-28 15:43:53+00:00,1341.0,70.0,,4.0,PT40S,hd,false,Friday,13
y8fMv5LuXeo,Snakehips,"Snakehips - ""My Body // Your Body"" w/ Muni Long (Visualizer)","Snakehips """"My Body // Your Body"" w/ Muni Long"" OUT NOW on the 'never worry' Deluxe Album! 
Stream it here: https://helixrecords.ffm.to/neverworry-deluxe","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-07-28 15:42:33+00:00,18781.0,168.0,,7.0,PT3M6S,hd,false,Friday,13
